CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
497;;;base;interview;23.07.2019 08:05;276;2;;1;;1;1;1;1;2;1;1;1;1;1;;8;3;2;2;2;1;1;1;1;;2;;1;;4;2;2;2;1;2;1;;2;;1;7;2;2;2;2;2;2;2;1;1;;2;2;;1;1;1;1;1;2;2;1;3;1;2;1;2;1;1;2;1;;1;3;1;2;1;2;2;1;1;1;;1;5;1;1;2;2;2;2;2;1;1;;1;2;1;2;2;1;1;;1;1;Zenodo;2;2;2;1;1;1;1;1;1;;1;Analytical Method Development ;1;2;No data archiving in our institution;2;;Data repositiry to handle 2D spectroscopic data of time series, together with meta data, time stamps. Ability to access pre-treated and analysed data and access it along with raw data.;Data exchange from spectrometers to central data repository.;1;;;;;;;;;;;;;;;;;;;;;;;;
499;;;base;interview;23.07.2019 08:05;276;2;;8;;1;1;1;1;1;1;1;2;1;1;;8;1;1;1;2;1;1;1;1;;2;;1;;3;2;2;2;1;1;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;;;base;interview;23.07.2019 08:11;276;2;;7;Senior Scientist;1;1;1;1;1;1;1;1;1;2;Isotope analysis;8;1;1;1;1;1;1;1;2;Isotope ratio data;2;;1;;4;2;2;2;2;1;1;;1;SOP's according to ISO 17025;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;1;OXALID, GeoReM;2;1;2;2;1;1;1;1;1;;1;comparing data, source apportionment, assessment of origin/provenance;1;1;;2;;database for isotope ratio data obtained by researchers worldwide;data are not easily accessible;1;;;;;;;;;;;;;;;;;;;;;;;;
501;;;base;interview;23.07.2019 08:11;840;2;;2;;2;2;1;1;1;1;1;2;1;1;;5;5;2;2;2;2;2;1;1;;2;;2;Printing out NMR spectra and assign the peaks manually;4;2;2;2;2;1;1;;1;According to GSP (DFG);1;5;2;2;2;1;2;2;1;1;3;Sometimes manually, some instruments add it automatically;1;2;;2;2;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;NIST, AIST;4;2;2;2;2;1;1;1;1;;1;Planning experiments, cross-checking my own data (both qualitatively);1;1;;2;;;Automatic collection of metadata, exchange of data with other researchers;2;;;;;;;;;;;;;;;;;;;;;;;;
502;;;base;interview;23.07.2019 08:26;276;2;;3;;1;1;2;1;1;1;1;1;1;1;;4;2;2;1;2;1;1;1;1;;3;;1;;4;2;2;2;1;2;1;;1;primary data archive, automatically;3;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;1;1;1;1;1;2;1;;1;comparison of data, identification and characterization;1;1;;1;institute intern IT;;;2;;;;;;;;;;;;;;;;;;;;;;;;
503;;;base;interview;23.07.2019 08:33;276;2;;2;;4;2;1;1;2;1;1;2;1;2;Energy: Hydrogen;4;5;2;1;2;2;2;1;2;Gas adsorption-desorption;2;"Synthesis procedures for materials: summarized in a datasheet. Name of Synthesis, Goal, conditions, chara
";1;Effect of the Synthesis conditions.;3;2;2;2;1;1;1;;1;Default driver for unmodifyed RAW data;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;1;2;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;2;1;2;2;1;1;1;1;1;;1;Check reproducibility;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
504;;;base;interview;23.07.2019 08:36;276;2;;2;;2;1;1;2;1;1;1;1;1;2;Analytical chemistry;5;1;1;1;2;1;1;1;1;;1;;1;;1;1;1;1;2;1;1;;1;Data are automatically backed-up on server;2;;;;;;;;;;;;;1;MS Excel;;;;;;;;;3;1;2;1;2;1;1;2;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;2;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;Sharepoint;n.a.;n.a.;2;;;;;;;;;;;;;;;;;;;;;;;;
505;;;base;interview;23.07.2019 08:38;276;1;;3;;2;1;1;1;2;1;1;2;1;1;;2;2;1;1;2;2;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
508;;;base;interview;23.07.2019 08:44;276;2;;7;Senior Scientist;3;1;2;1;1;1;1;2;1;2;Analytical Chemistry;6;1;1;1;1;1;1;1;2;Mass Spectrometry;2;;1;;1;1;1;1;2;1;1;;3;;1;6;2;1;2;2;2;2;2;1;1;;3;2;;1;2;1;1;2;1;1;1;3;2;2;1;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;2;2;2;1;1;1;;1;1;MetaboLights;2;2;1;2;1;1;1;1;1;;1;Confirmation of Hypothesis (presence/level of analyte within sample);1;1;;1;"MetaboLights; OwnCloud; Dropbox";"online storage space for data sharing (dropbox); long term storage for raw data; online repository for experimental description and metadata linked to raw data repo";seemless workflow connecting sample description (meta data) from electronic notebook (not present yet) with database upload to facilitate reusable long term storage;1;;;;;;;;;;;;;;;;;;;;;;;;
509;;;base;interview;23.07.2019 08:49;276;1;;3;;1;1;1;1;1;1;1;1;1;2;Pharmaceutical Biology;3;2;1;1;2;2;1;1;1;;2;;2;NMR Spectra analysis ;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
510;;;base;interview;23.07.2019 09:02;276;1;;2;;1;1;2;1;1;1;1;1;1;1;;4;2;2;1;2;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
511;;;base;interview;23.07.2019 09:02;276;1;;8;;2;2;1;1;1;1;1;2;1;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512;;;base;interview;23.07.2019 09:05;276;2;;1;;1;1;1;1;1;1;1;1;2;1;;8;3;1;2;2;2;1;1;1;;2;;1;;3;2;2;2;1;1;1;;1;Each member has a three-letter code, experiments are labelled with figures after the the three-letter code;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;1;1;2;1;;1;1;1;2;1;1;1;1;1;1;;1;3;1;1;2;1;1;2;2;1;1;;1;2;2;2;1;1;1;;1;1;OpenAIRE;2;1;1;2;2;1;1;1;1;;1;to look for candidate genes;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
514;;;base;interview;23.07.2019 09:07;276;2;;3;;1;1;1;1;1;1;1;1;2;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
515;;;base;interview;23.07.2019 09:18;192;1;;3;;1;1;2;1;1;1;1;1;1;1;;4;2;2;1;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;1;2;1;1;1;1;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;To compare with those ones obtained by myself;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
516;;;base;interview;23.07.2019 09:20;276;1;;2;;1;1;1;1;1;2;1;1;1;1;;5;1;1;2;1;1;1;1;1;;2;;2;Pen and paper.;1;1;1;1;2;1;1;;1;10 years or longer;1;3;2;1;1;1;2;2;1;1;2;;2;2;;1;1;1;1;1;2;2;1;2;1;2;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;https://qcarchive.molssi.org/;3;2;2;2;1;1;1;1;1;;1;Benchmark, analysis;1;1;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
517;;;base;interview;23.07.2019 09:32;276;2;;2;;1;1;1;1;1;1;1;2;1;1;;5;1;2;1;1;1;1;1;1;;2;;1;;2;2;2;1;1;1;1;;1; The raw data have to be archieved for a period of 10 years;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
520;;;base;interview;23.07.2019 09:42;276;2;;2;;2;1;1;1;1;2;1;1;2;1;;4;1;1;2;1;1;1;1;1;;2;;1;;2;2;1;2;1;1;1;;1;raw data archive, data archive for anaylsed data;1;4;2;1;2;1;2;2;1;1;1;;1;2;;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;1;RADAR;1;1;1;2;1;1;1;1;1;;1;I wanted to check the results presented in the publication, because they were very different on what I found on a similar investigation of mine.;1;1;;1;RADAR;Standards for archiving my kind of data, standards for metadata, maybe website where one can check on what is standard with show cases, maybe short webinars on this topic.;I would like to have an electronic lab journal. This is in progress.;1;;;;;;;;;;;;;;;;;;;;;;;;
523;;;base;interview;23.07.2019 10:22;276;2;;3;;1;1;2;1;1;1;1;1;1;1;;2;2;2;1;2;1;1;1;1;;1;;2;MS data;3;2;2;2;1;1;1;;1;auto archive;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;1;2;2;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
525;;;base;interview;23.07.2019 11:01;276;2;;3;;2;1;2;1;1;1;1;1;1;2;Analytical Chemistry;4;2;2;1;2;1;1;1;1;;1;"Weighing vials for yield determination, weights are typed in Excel sheets.
";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;;;base;interview;23.07.2019 11:03;276;3;;7;Executive in Industry;5;1;2;2;2;1;1;2;2;1;;8;7;2;2;2;2;2;2;2;Chromatographic, hyphenated methods;2;;2;All approaches are digital, with some manual interference. ;4;2;2;2;2;1;1;;1;all data incl. and with high focus on meta-data;1;7;2;2;2;2;2;2;2;1;2;;2;1;ISD;1;2;2;1;1;1;1;1;2;1;1;1;1;1;2;2;1;;1;4;2;1;2;1;1;2;1;2;LIMS;1;5;2;1;2;2;1;2;1;1;2;LIMS;1;1;2;1;1;1;1;;1;1;inhouse LIMS systems, electronic archives, spectral databases etc.;3;2;2;1;2;1;1;1;1;;1;spectral comparison, project work, correlation, model-building, simulation, regulatory dossiers etc.;1;1;;1;internal IT support system;"data curation; chemometrics; high-level statistics and machine-learning experts";"data curation; availability correlatable meta-data; on-line- in-line and at-line data in a consistent format; unique identifiers for samples and compound over several generations....";1;;;;;;;;;;;;;;;;;;;;;;;;
527;;;base;interview;23.07.2019 11:12;276;1;;8;;1;1;1;1;1;1;1;1;2;1;;4;1;1;2;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529;;;base;interview;23.07.2019 11:25;276;2;;2;;2;1;1;2;2;1;1;1;1;1;;5;4;2;1;2;2;1;1;2;release data (change of concentration);1;This is mainly the data, which has to be evaluated by the scientist. E.G. spectroscopic data is represented in a form of a graph, which is digital. But the conclusions obtained from the observing the graph and comparing it to the other graphs (interpretation) is not digitalised. Thus, the results of the raw data processing and interpretation is not necessary digitalised.  ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530;;;base;interview;23.07.2019 12:21;276;1;;3;;1;1;1;1;1;2;1;1;1;1;;9;1;1;2;1;1;1;1;1;;2;;1;;3;2;2;2;1;1;1;;2;;1;2;2;1;1;2;1;1;1;1;1;;1;2;;1;1;1;1;1;2;2;1;2;1;2;2;1;1;1;1;1;;1;2;1;2;1;1;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;Structrual Information as a starting point for my calccualtions.;1;1;;1;Leibniz-Rechenzentrum;Easier sharing of data with coworkres and collaborators;Easier access to saved/archived data ;1;;;;;;;;;;;;;;;;;;;;;;;;
532;;;base;interview;23.07.2019 14:04;276;2;;2;;1;1;1;1;1;1;1;1;1;2;Supramolecular Chemistry;4;3;1;2;2;1;1;1;2;Process Data;1;Notation of experimental conditions in a labbook and/or electronically at the field for comments at the spectrometer. Later I need to transfer this data into an electronic form for processing and publication. ;2;Visual inspection of spectra for ad hoc decisions during the measurements, assessment of volumina and concentration, the rest is calculated or simulated digitally.  ;4;2;2;2;2;1;1;;1;Raw data is immidiatly saved on a group share, which is backuped and partially versioned and allows directy processing from other PCs.;1;4;2;1;2;1;2;2;1;1;3;Some Data comes from the devise software (Date, Technique) but additional data has to be inserted manually (Username, Temperature).;2;2;;1;1;1;1;1;2;2;1;5;2;2;2;1;1;2;2;1;;1;2;1;2;1;2;1;1;1;1;;1;3;1;1;1;2;1;1;2;1;2;gigamove;1;2;2;2;1;1;1;;1;1;pubchem, reaxys, scifinder;2;2;1;2;1;1;1;1;1;;1;Additional information aquistion not present in the publication, Re-processing, evaluation of models and application of new models on old data, ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
534;;;base;interview;23.07.2019 14:45;276;5;Non-profit foundation;6;;2;1;2;1;1;2;1;1;1;1;;8;2;2;2;1;1;1;1;1;;2;;2;peak assignment for NMR;3;2;2;1;1;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;1;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;3;1;2;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;2;1;1;1;;1;;1;3;;2;;Data scientists;ELN;2;;;;;;;;;;;;;;;;;;;;;;;;
538;;;base;interview;23.07.2019 17:35;276;1;;4;;1;1;1;1;1;1;1;1;2;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
539;;;base;interview;23.07.2019 17:41;276;1;;4;;1;1;1;2;1;1;1;1;1;1;;9;5;2;2;2;2;1;2;1;;3;;1;;4;2;2;2;2;1;1;;1;public folder;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
545;;;base;interview;23.07.2019 18:26;724;1;;1;;2;1;1;2;1;1;1;2;1;1;;4;4;2;1;1;2;2;1;2;GasChromatography;2;;1;;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;1;2;1;1;;1;3;1;1;2;2;2;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;to compare data with my analysis ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546;;;base;interview;23.07.2019 19:15;276;1;;8;;1;1;1;1;1;1;1;1;1;2;Nuclear Chemistry;7;2;1;2;2;1;1;1;1;;2;;2;differs;3;2;2;2;1;1;1;;2;;3;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;2;1;1;1;1;1;;1;3;1;2;1;2;1;2;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;1;janis (OECD/NEA) or other nuclear databases;1;1;1;1;1;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550;;;base;interview;24.07.2019 02:12;276;1;;3;;1;1;1;1;1;1;1;1;2;1;;4;2;1;1;1;2;2;1;1;;1;Simple analysis steps of during protein purification, photometric measurements or stained gels/blots.;1;;1;1;1;1;2;1;1;;2;;1;3;1;1;2;1;2;2;1;1;3;Both;1;2;;1;1;1;1;1;2;2;1;3;2;2;1;2;1;1;1;1;;1;3;1;1;2;2;2;1;1;1;;1;3;1;1;2;2;1;1;1;1;2;External hard drive;1;2;2;2;1;1;1;;1;1;PDB, EMDB, EDS;1;1;1;1;1;1;1;2;1;;1;;1;2;No Standerd, no thorough descriptions;2;;Easy, yet powerful, modular database system;Sample management;2;;;;;;;;;;;;;;;;;;;;;;;;
551;;;base;interview;24.07.2019 06:46;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;9;5;2;2;2;2;2;1;1;;1;a lot;2;Rf as example;4;2;2;2;2;1;1;;2;;1;4;1;2;2;1;2;2;1;1;3;both;2;2;;1;1;1;1;1;2;2;1;4;2;2;2;1;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;1;2;1;;1;3;2;2;2;1;1;;1;1;ccdc as example;4;2;2;2;2;1;1;1;1;;1;for better comparison with new results;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;;;base;interview;24.07.2019 09:48;276;1;;8;;1;1;1;1;1;1;1;1;1;2;RZ;7;1;1;1;1;1;1;1;2;none;1;;1;;1;2;1;1;1;1;1;;2;;1;7;2;2;2;2;2;2;2;1;1;;1;2;;1;1;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;1;;2;2;;1;2;1;1;1;1;1;1;1;;1;Experiments;1;1;;1;Cera;Repo;-;2;;;;;;;;;;;;;;;;;;;;;;;;
567;;;base;interview;24.07.2019 10:03;276;1;;1;;1;2;1;1;1;1;1;1;1;1;;6;5;2;1;2;2;2;2;1;;2;;1;;1;1;1;1;2;1;1;;2;;1;4;2;1;2;1;2;2;1;1;1;;2;2;;1;1;1;1;1;2;2;1;3;1;2;2;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;ChemRxiv;4;2;2;2;2;1;1;1;1;;1;crystal structure data of others is recalculated, used for geometry simulations and for presentation;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
569;;;base;interview;24.07.2019 10:53;276;2;;7;Senior Scientist;3;2;1;2;1;1;1;2;1;1;;6;4;2;1;2;2;1;2;1;;2;;1;;1;1;1;1;2;1;1;;3;;1;2;1;1;2;2;1;1;1;1;2;;1;3;;1;2;1;2;1;1;1;1;2;2;1;1;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;mainly for comparison reasons;1;1;;1;service for archieving and sharing of data;;;2;;;;;;;;;;;;;;;;;;;;;;;;
581;;;base;interview;24.07.2019 12:56;643;1;;3;;2;1;1;1;1;1;1;1;2;2;Molecular and Cell Biology;9;2;1;1;2;1;1;1;2;Experimental data;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;;;base;interview;24.07.2019 16:13;276;2;;8;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;8;2;1;1;2;1;1;1;2;Spectrometric data;2;;2;calculations;3;2;2;1;2;1;1;;1;quality accurance rules;1;5;1;1;2;2;2;2;2;1;1;;1;2;;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;1;2;infrequently as analysed data in form of supplementary material;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
590;;;base;interview;24.07.2019 16:45;276;1;;1;;1;1;1;1;1;1;1;1;1;2;Analytical and Environmental Chemistry;8;1;1;1;2;1;1;1;1;;2;;1;;3;2;2;2;1;1;1;;2;;1;5;2;1;2;2;2;2;1;1;2;;3;2;;1;1;1;1;1;2;1;2;2;1;2;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;2;2;1;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;new data analysis approach;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;;;base;interview;24.07.2019 16:50;276;1;;1;;2;1;1;1;1;2;1;1;1;2;Nuclear Chemistry;8;3;2;2;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;1;There are fixed formats in which the data are measured, stored, and processed.;1;1;1;1;1;1;1;1;2;1;3;theoretical calculations;2;1;software that was jointly developed in my group and at GSI Darmstadt;1;2;1;2;1;1;1;1;2;1;1;2;1;1;1;1;2;GSI  IT centre;1;3;2;2;1;1;1;1;1;2;GSI IT centre;1;1;1;1;1;1;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;http://ie.lbl.gov/toi/, www.nucleonica.net;1;1;1;2;1;1;1;1;1;;1;for a critical comparison of related results;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;;;base;interview;24.07.2019 17:08;276;1;;1;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;8;3;1;1;2;2;1;1;2;Mass spectrometry (MS) data, MS imaging, multimodal imaging, 3D medical imaging data;2;;1;;3;2;2;2;1;1;1;;1;"Varying; depending on instrument type and software";2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;2;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;4;1;1;2;2;2;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;Internal support group (institute, department);None;Not known;2;;;;;;;;;;;;;;;;;;;;;;;;
596;;;base;interview;24.07.2019 18:04;276;1;;1;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;8;1;1;1;1;1;1;1;2;Quantity data and quality data;1;;1;;2;2;1;2;1;1;1;;3;;1;3;2;1;2;1;1;2;1;1;2;;2;2;;1;1;1;1;1;2;2;1;3;2;1;1;2;2;1;1;1;;1;1;1;1;1;1;2;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604;;;base;interview;24.07.2019 21:30;276;1;;1;;4;2;1;1;2;1;1;2;1;2;Electrochemistry;4;6;2;2;2;2;2;2;1;;1;Synthesis procedures and observations made;1;;4;2;2;2;2;1;1;;2;;1;5;2;2;2;1;2;2;1;1;1;;1;2;;1;2;1;2;1;1;1;1;4;1;2;2;2;1;2;1;1;;1;4;1;2;2;2;2;1;1;1;;1;3;1;2;2;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;2;Not sure ;2;;I first need to know what services are available ;Nothing ;2;;;;;;;;;;;;;;;;;;;;;;;;
605;;;base;interview;24.07.2019 21:35;578;1;;1;;1;1;1;1;1;1;1;1;1;2;"Materials Science (with ""s"" after Material!)";6;5;2;1;2;2;1;2;2;"Complex coupled datasets of spectroscopic and electrochemical data; other spectroscopic data";1;#NAME?;2;"Not in easy words here; very often, we need to print out some data to sort it and get an overview.";4;2;2;2;2;1;1;;1;I made rules, but nobody follows them, which makes them rather useless. ;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;1;2;1;1;1;;1;2;;1;1;1;1;1;1;1;1;2;Data was simply not available when I thought it would be interesting to look at that.;1;I did not re-use data. ;1;1;;1;I assume that applies to Germany: The internal support of the institute I worked at there and the Max Planck Society;"Local repositories; or even better: community based repositories - in my community, I do not know any ""community-standard"" repository";Awareness amongst PhD and master students about the issue of keeping data in accessible formats. ;1;;;;;;;;;;;;;;;;;;;;;;;;
607;;;base;interview;24.07.2019 22:55;276;1;;3;;2;2;1;1;1;2;1;1;1;1;;9;1;1;2;1;1;1;1;1;;2;;1;;4;2;2;2;2;1;1;;2;;1;2;1;1;1;1;1;2;2;1;1;;1;2;;1;1;1;1;1;2;2;1;3;2;2;1;2;1;1;1;1;;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;2;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;Preparation of simulation input via lower level methods for reduced computing time;2;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
